2021-06-30 18:06:275 INFO  HomePage :34 - Clicking on Bank Manager Login Link : [[ChromeDriver: chrome on WINDOWS (d7818b748a79fc2295341bd0c703447a)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2021-06-30 18:06:364 INFO  BankManagerLoginPage :24 - Clicking on Add Customer Button : [[ChromeDriver: chrome on WINDOWS (d7818b748a79fc2295341bd0c703447a)] -> xpath: //button[@ng-click='addCust()']]
2021-06-30 18:06:468 INFO  AddCustomerPage :27 - Enter FirstName : [[ChromeDriver: chrome on WINDOWS (d7818b748a79fc2295341bd0c703447a)] -> xpath: //input[@placeholder='First Name']]
2021-06-30 18:06:554 INFO  AddCustomerPage :32 - Enter lastName : [[ChromeDriver: chrome on WINDOWS (d7818b748a79fc2295341bd0c703447a)] -> xpath: //input[@placeholder='Last Name']]
2021-06-30 18:06:690 INFO  AddCustomerPage :37 - Enter Post Code : [[ChromeDriver: chrome on WINDOWS (d7818b748a79fc2295341bd0c703447a)] -> xpath: //input[@placeholder='Post Code']]
2021-06-30 18:06:724 INFO  AddCustomerPage :41 - Click On Add Customer : [[ChromeDriver: chrome on WINDOWS (d7818b748a79fc2295341bd0c703447a)] -> xpath: //button[text()='Add Customer']]
2021-06-30 18:06:889 INFO  BankManagerLoginPage :29 - Clicking on Open Account Button : [[ChromeDriver: chrome on WINDOWS (d7818b748a79fc2295341bd0c703447a)] -> xpath: //button[@ng-click='openAccount()']]
2021-06-30 18:06:44 INFO  OpenAccountPage :25 - Enter Customer Name : [[ChromeDriver: chrome on WINDOWS (d7818b748a79fc2295341bd0c703447a)] -> xpath: //select[@id='userSelect']]
2021-06-30 18:06:201 INFO  OpenAccountPage :30 - Enter Currency : [[ChromeDriver: chrome on WINDOWS (d7818b748a79fc2295341bd0c703447a)] -> xpath: //select[@id='currency']]
2021-06-30 18:06:234 INFO  OpenAccountPage :34 - Click ON Process Button : [[ChromeDriver: chrome on WINDOWS (d7818b748a79fc2295341bd0c703447a)] -> xpath: //button[contains(text(),'Process')]]
2021-06-30 18:06:421 INFO  HomePage :24 - Clicking on Home Page : [[ChromeDriver: chrome on WINDOWS (d7818b748a79fc2295341bd0c703447a)] -> xpath: //button[contains(text(),'Home')]]
2021-06-30 18:06:496 INFO  HomePage :29 - Clicking on Customer Log In Link : [[ChromeDriver: chrome on WINDOWS (d7818b748a79fc2295341bd0c703447a)] -> xpath: //button[contains(text(),'Customer Login')]]
2021-06-30 18:06:629 INFO  OpenAccountPage :25 - Enter Customer Name : [[ChromeDriver: chrome on WINDOWS (d7818b748a79fc2295341bd0c703447a)] -> xpath: //select[@id='userSelect']]
2021-06-30 18:06:700 INFO  CustomerLoginPage :31 - Clicking on Login Button : [[ChromeDriver: chrome on WINDOWS (d7818b748a79fc2295341bd0c703447a)] -> xpath: //button[contains(text(),'Login')]]
2021-06-30 18:06:777 INFO  AccountPage :30 - Clicking on Deposite Tab : [[ChromeDriver: chrome on WINDOWS (d7818b748a79fc2295341bd0c703447a)] -> xpath: //button[@ng-click='deposit()']]
2021-06-30 18:06:868 INFO  AccountPage :34 - Enter YourName : [[ChromeDriver: chrome on WINDOWS (d7818b748a79fc2295341bd0c703447a)] -> xpath: //input[@placeholder= 'amount']]
2021-06-30 18:06:956 INFO  AccountPage :38 - Clicking on Deposite Button : [[ChromeDriver: chrome on WINDOWS (d7818b748a79fc2295341bd0c703447a)] -> xpath: //button[text()='Deposit']]
2021-06-30 18:06:973 INFO  AccountPage :41 - Verify Deposite Text : [[ChromeDriver: chrome on WINDOWS (d7818b748a79fc2295341bd0c703447a)] -> xpath: //span[contains(text(),'Deposit Successful')]]
2021-06-30 18:06:886 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-30 18:06:835 INFO  HomePage :34 - Clicking on Bank Manager Login Link : [[ChromeDriver: chrome on WINDOWS (f71aab7864f2b7ff2673d9ba078d248e)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2021-06-30 18:06:906 INFO  BankManagerLoginPage :24 - Clicking on Add Customer Button : [[ChromeDriver: chrome on WINDOWS (f71aab7864f2b7ff2673d9ba078d248e)] -> xpath: //button[@ng-click='addCust()']]
2021-06-30 18:06:993 INFO  AddCustomerPage :27 - Enter FirstName : [[ChromeDriver: chrome on WINDOWS (f71aab7864f2b7ff2673d9ba078d248e)] -> xpath: //input[@placeholder='First Name']]
2021-06-30 18:06:100 INFO  AddCustomerPage :32 - Enter lastName : [[ChromeDriver: chrome on WINDOWS (f71aab7864f2b7ff2673d9ba078d248e)] -> xpath: //input[@placeholder='Last Name']]
2021-06-30 18:06:190 INFO  AddCustomerPage :37 - Enter Post Code : [[ChromeDriver: chrome on WINDOWS (f71aab7864f2b7ff2673d9ba078d248e)] -> xpath: //input[@placeholder='Post Code']]
2021-06-30 18:06:208 INFO  AddCustomerPage :41 - Click On Add Customer : [[ChromeDriver: chrome on WINDOWS (f71aab7864f2b7ff2673d9ba078d248e)] -> xpath: //button[text()='Add Customer']]
2021-06-30 18:06:383 INFO  BankManagerLoginPage :29 - Clicking on Open Account Button : [[ChromeDriver: chrome on WINDOWS (f71aab7864f2b7ff2673d9ba078d248e)] -> xpath: //button[@ng-click='openAccount()']]
2021-06-30 18:06:502 INFO  OpenAccountPage :25 - Enter Customer Name : [[ChromeDriver: chrome on WINDOWS (f71aab7864f2b7ff2673d9ba078d248e)] -> xpath: //select[@id='userSelect']]
2021-06-30 18:06:635 INFO  OpenAccountPage :30 - Enter Currency : [[ChromeDriver: chrome on WINDOWS (f71aab7864f2b7ff2673d9ba078d248e)] -> xpath: //select[@id='currency']]
